time,lux
0.067,3178.50
0.165,3178.50
0.267,3178.50
0.367,3178.50
0.467,3178.50
0.569,3178.50
0.671,3178.50
0.773,3178.50
0.876,3178.50
0.967,3178.50
1.073,3178.50
1.171,3178.50
1.276,3178.50
1.375,3178.50
1.472,3178.50
1.575,3178.50
1.675,3178.50
1.776,3178.50
1.875,3178.50
1.966,3178.50
2.073,3178.50
2.173,3178.50
2.275,3178.50
2.374,3178.50
2.472,3178.50
2.575,3178.50
2.674,3178.50
2.775,3178.50
2.873,3178.50
2.964,3178.50
3.073,3178.50
3.173,3178.50
3.274,3178.50
3.373,3178.50
3.473,3178.50
3.575,3178.50
3.674,3178.50
3.772,3178.50
3.874,3178.50
3.974,3178.50
4.068,3178.50
4.173,3178.50
4.275,3178.50
4.373,3178.50
4.475,3178.50
4.575,3178.50
4.674,3178.50
4.773,3178.50
4.871,3178.50
4.974,3178.50
5.065,3178.50
5.171,3178.50
5.274,3178.50
5.373,3178.50
5.473,3178.50
5.574,3178.50
5.674,3178.50
5.771,3178.50
5.872,3178.50
5.973,3178.50
6.074,3178.50
6.167,3178.50
6.273,3178.50
6.372,3178.50
6.474,3178.50
6.572,3178.50
6.673,3178.50
6.774,3178.50
6.873,3178.50
6.972,3178.50
7.073,3178.50
7.165,3178.50
7.272,3178.50
7.372,3178.50
7.472,3178.50
7.573,3178.50
7.672,3178.50
7.772,3178.50
7.872,3178.50
7.971,3178.50
8.073,3178.50
8.165,3178.50
8.272,3178.50
8.371,3178.50
8.473,3178.50
8.571,3178.50
8.673,3178.50
8.774,3178.50
8.872,3178.50
8.972,3178.50
9.074,3178.50
9.163,3178.50
9.272,3178.50
9.371,3178.50
9.473,3178.50
9.572,3178.50
9.672,3178.50
9.772,3178.50
9.872,3178.50
9.973,3178.50
10.073,3178.50
10.174,3178.50
10.271,3178.50
10.370,3178.50
10.473,3178.50
10.574,3178.50
10.672,3178.50
10.771,3178.50
10.872,3178.50
10.971,3178.50
11.073,3178.50
11.172,3178.50
11.263,3178.50
11.368,3178.50
11.470,3178.50
11.571,3178.50
11.672,3178.50
11.771,3178.50
11.871,3178.50
11.971,3178.50
12.072,3178.50
12.171,3178.50
12.272,3178.50
12.365,3178.50
12.472,3178.50
12.572,3178.50
12.671,3178.50
12.771,3178.50
12.866,3178.50
12.964,3178.50
13.069,3178.50
13.171,3178.50
13.273,3178.50
13.362,3178.50
13.471,3178.50
13.571,3178.50
13.672,3178.50
13.771,0.00
13.871,0.59
13.969,0.10
14.071,0.01
14.161,0.00
14.271,4457.93
14.371,3233.61
14.464,3210.77
14.570,3178.50
14.670,3210.77
14.768,3210.77
14.871,3210.77
14.971,3210.77
15.071,3210.77
15.171,3210.77
15.272,3178.50
15.369,3178.50
15.470,3210.77
15.571,3178.50
15.668,3210.77
15.770,3178.50
15.870,3210.77
15.971,3210.77
16.071,3178.50
16.168,3178.50
16.270,3178.50
16.368,3178.50
16.472,3178.50
16.570,3178.50
16.672,3178.50
16.770,3178.50
16.871,3178.50
16.970,3178.50
17.069,3178.50
17.170,3178.50
17.271,3178.50
17.371,3178.50
17.468,3178.50
17.570,3178.50
17.672,3178.50
17.769,3210.77
17.869,3178.50
17.968,3178.50
18.071,3178.50
18.169,3178.50
18.271,3178.50
18.369,3178.50
18.471,3210.77
18.568,3178.50
18.671,3210.77
18.768,3178.50
18.869,3178.50
18.970,3178.50
19.061,3178.50
19.171,3178.50
19.272,3178.50
19.369,3210.77
19.469,3178.50
19.567,3178.50
19.670,3178.50
19.768,3210.77
19.866,3178.50
19.968,3178.50
20.071,3210.77
20.166,3178.50
20.271,3178.50
20.367,3178.50
20.469,3210.77
20.566,3178.50
20.669,3178.50
20.768,3178.50
20.869,3178.50
20.968,3178.50
21.070,3178.50
21.169,3178.50
21.271,3178.50
21.367,3178.50
21.469,3210.77
21.568,3178.50
21.667,3178.50
21.768,3210.77
21.869,3178.50
21.965,3178.50
22.068,3210.77
22.167,3178.50
22.266,3178.50
22.368,3178.50
22.468,3178.50
22.567,3178.50
22.667,3178.50
22.767,3178.50
22.868,3178.50
22.966,3178.50
23.069,3178.50
23.167,3178.50
23.271,3178.50
23.366,3178.50
23.469,3178.50
23.567,3178.50
23.669,3178.50
23.768,3178.50
23.868,3178.50
23.967,3178.50
24.068,3178.50
24.168,3178.50
24.269,3178.50
24.367,3178.50
24.469,3178.50
24.566,3178.50
24.668,3178.50
24.767,3178.50
24.859,3178.50
24.971,3178.50
25.066,3178.50
25.166,3178.50
25.270,3178.50
25.366,3178.50
25.469,3178.50
25.567,3178.50
25.666,3178.50
25.767,3178.50
25.867,3178.50
25.965,3178.50
26.068,3178.50
26.167,3178.50
26.268,3178.50
26.365,3178.50
26.468,3210.77
26.565,3178.50
26.665,3178.50
26.768,3178.50
26.866,3210.77
26.965,3178.50
27.065,3178.50
27.166,3178.50
27.269,3178.50
27.365,3178.50
27.467,3178.50
27.566,3210.77
27.666,3178.50
27.765,3178.50
27.865,3178.50
27.966,3178.50
28.065,3210.77
28.164,3210.77
28.264,3178.50
28.363,3178.50
28.466,3178.50
28.565,3178.50
28.666,3178.50
28.766,3178.50
28.865,3210.77
28.962,3178.50
29.065,3178.50
29.166,3178.50
29.266,3178.50
29.367,3178.50
29.464,3178.50
29.564,3178.50
29.665,3178.50
29.764,3210.77
29.864,3178.50
29.963,3178.50
30.066,3178.50
30.164,3178.50
30.269,3178.50
30.364,3178.50
30.468,3178.50
30.564,3178.50
30.665,3178.50
30.765,3210.77
30.864,3178.50
30.961,3210.77
31.063,3178.50
31.163,3210.77
31.263,3210.77
31.362,3178.50
31.465,3178.50
31.563,3178.50
31.665,3178.50
31.765,3178.50
31.863,3210.77
31.963,3210.77
32.065,3178.50
32.162,3178.50
32.264,3178.50
32.363,3178.50
32.463,3178.50
32.563,3178.50
32.663,3178.50
32.763,3210.77
32.863,3178.50
32.962,3178.50
33.064,3210.77
33.161,3210.77
33.264,3178.50
33.362,3178.50
33.465,3178.50
33.563,3178.50
33.665,3210.77
33.761,3178.50
33.862,3210.77
33.961,3178.50
34.063,3210.77
34.161,3178.50
34.263,3178.50
34.360,3178.50
34.453,3210.77
34.551,3178.50
34.650,3178.50
34.750,3178.50
34.850,3178.50
34.950,3178.50
35.050,3178.50
35.150,3178.50
35.250,3178.50
35.350,3178.50
35.450,3178.50
35.548,3210.77
35.650,3178.50
35.750,3178.50
35.850,3210.77
35.950,3178.50
36.050,3178.50
36.149,3178.50
36.250,3178.50
36.349,3178.50
36.450,3178.50
36.550,3210.77
36.650,3178.50
36.750,3178.50
36.850,3178.50
36.949,3178.50
37.050,3210.77
37.149,3178.50
37.250,3178.50
37.349,3178.50
37.450,3210.77
37.549,3178.50
37.649,3210.77
37.749,3178.50
37.850,3210.77
37.949,3178.50
38.050,3178.50
38.149,3178.50
38.249,3178.50
38.349,3178.50
38.449,3178.50
38.549,3178.50
38.649,3178.50
38.750,3178.50
38.850,3178.50
38.949,3178.50
39.049,3178.50
39.148,3210.77
39.249,3178.50
39.349,3178.50
39.449,3178.50
39.549,3178.50
39.649,3178.50
39.749,3178.50
39.849,3178.50
39.949,3178.50
40.049,3178.50
40.147,3178.50
40.249,3178.50
40.348,3178.50
40.450,3178.50
40.549,3178.50
40.650,3210.77
40.749,3210.77
40.849,3178.50
40.949,3210.77
41.049,3178.50
41.148,3178.50
41.249,3178.50
41.348,3227.29
41.450,3227.29
41.550,3227.29
41.651,3210.77
41.750,3210.77
41.850,3178.50
41.950,3210.77
42.051,3227.29
42.150,3227.29
42.250,3227.29
42.349,3210.77
42.451,3210.77
42.550,3210.77
42.650,3227.29
42.750,3227.29
42.850,3210.77
42.948,3178.50
43.048,3178.50
43.149,3178.50
43.250,3178.50
43.350,3210.77
43.450,3178.50
43.549,3178.50
43.650,3178.50
43.749,3178.50
43.849,3178.50
43.949,3178.50
44.049,3178.50
44.148,3210.77
44.250,3210.77
44.348,3210.77
44.448,3178.50
44.548,3210.77
44.648,3210.77
44.748,3178.50
44.848,3210.77
44.948,3178.50
45.048,3178.50
45.148,3210.77
45.248,3178.50
45.347,3178.50
45.447,3178.50
45.547,3178.50
45.648,3178.50
45.747,3178.50
45.847,3178.50
45.947,3178.50
46.048,3178.50
46.146,3210.77
46.247,3178.50
46.347,3178.50
46.447,3178.50
46.547,3210.77
46.647,3178.50
46.747,3210.77
46.847,3178.50
46.947,3178.50
47.047,3178.50
47.147,3178.50
47.247,3178.50
47.347,3178.50
47.446,3178.50
47.547,3178.50
47.647,3178.50
47.747,3210.77
47.847,3178.50
47.947,3178.50
48.047,3178.50
48.147,3178.50
48.247,3178.50
48.347,3178.50
48.447,3178.50
48.546,3178.50
48.647,3178.50
48.747,3178.50
48.847,3178.50
48.945,3178.50
49.047,3178.50
49.147,3178.50
49.245,3178.50
49.346,3178.50
49.446,3178.50
49.546,3178.50
49.646,3178.50
49.746,3178.50
49.846,3178.50
49.946,3210.77
50.047,3178.50
50.146,3178.50
50.246,3178.50
50.346,3178.50
50.446,3178.50
50.546,3210.77
50.646,3178.50
50.746,3178.50
50.846,3178.50
50.945,3178.50
51.046,3178.50
51.146,3178.50
51.246,3178.50
51.346,3178.50
51.446,3178.50
51.546,3178.50
51.647,3178.50
51.747,3178.50
51.847,3178.50
51.947,3178.50
52.048,3178.50
52.148,3178.50
52.248,3178.50
52.348,3178.50
52.445,3178.50
52.546,3178.50
52.648,3210.77
52.747,3178.50
52.846,3178.50
52.947,3178.50
53.047,3210.77
53.146,3210.77
53.247,3210.77
53.347,3210.77
53.447,3178.50
53.545,3210.77
53.647,3210.77
53.747,3210.77
53.847,3210.77
53.947,3210.77
54.048,3210.77
54.148,3210.77
54.248,3210.77
54.348,3210.77
54.448,3210.77
54.548,3210.77
54.648,3178.50
54.747,3178.50
54.848,3210.77
54.947,3210.77
55.048,3178.50
55.147,3178.50
55.248,3178.50
55.347,3210.77
55.448,3210.77
55.547,3210.77
55.647,3210.77
55.747,3210.77
55.847,3210.77
55.947,3210.77
56.047,3210.77
56.148,3210.77
56.247,3210.77
56.347,3210.77
56.447,3210.77
56.547,3210.77
56.647,3210.77
56.747,3210.77
56.847,3210.77
56.946,3210.77
57.048,3210.77
57.147,3210.77
57.249,3210.77
57.348,3210.77
57.449,3210.77
57.548,3210.77
57.649,3210.77
57.749,3210.77
57.849,3178.50
57.948,3210.77
58.049,3178.50
58.148,3210.77
58.250,3210.77
58.348,3210.77
58.450,3210.77
58.548,3210.77
58.648,3210.77
58.747,3210.77
58.848,3210.77
58.948,3210.77
59.048,3210.77
59.148,3210.77
59.249,3210.77
59.348,3178.50
59.449,3178.50
59.548,3210.77
59.648,3210.77
59.748,3178.50
59.848,3178.50
59.947,3178.50
60.048,3210.77
60.146,3210.77
60.248,3210.77
60.347,3178.50
60.447,3210.77
60.546,3210.77
60.648,3210.77
60.747,3210.77
60.847,3210.77
60.947,3210.77
61.046,3210.77
61.146,3210.77
61.247,3210.77
61.347,3210.77
61.449,3178.50
61.547,3178.50
61.645,3210.77
61.747,3210.77
61.847,3210.77
61.946,3210.77
62.048,3178.50
62.147,3178.50
62.248,3210.77
62.347,3210.77
62.447,3210.77
62.547,3210.77
62.648,3210.77
62.747,3210.77
62.846,3210.77
62.944,3210.77
63.046,3178.50
63.145,3210.77
63.246,3210.77
63.345,3178.50
63.446,3210.77
63.545,3210.77
63.645,3210.77
63.745,3210.77
63.845,3178.50
63.945,3210.77
64.045,3178.50
64.146,3210.77
64.246,3210.77
64.345,3210.77
64.445,3210.77
64.545,3210.77
64.645,3210.77
64.745,3210.77
64.845,3210.77
64.945,3210.77
65.045,3210.77
65.146,3210.77
65.246,3210.77
65.346,3210.77
65.446,3210.77
65.545,3210.77
65.646,3210.77
65.746,3178.50
65.845,3178.50
65.944,3210.77
66.045,3210.77
66.146,3178.50
66.246,3178.50
66.344,3178.50
66.445,3178.50
66.545,3178.50
66.645,3178.50
66.746,3178.50
