Tiempo;Lux;;;;
4,13037E-05;15,82;;;;
9,04748E-05;16,77;;;;
0,000140138;16,77;;;;
0,0001898;15,82;;;;
0,000238972;16,77;;;;
0,000288634;18,49;;;;
0,000337805;17,47;;;;
0,000387468;17,47;;;;
0,000438115;17,47;;;;
0,000486794;18,49;;;;
0,533506435;18,49;;;;
0,583660957;18,49;;;;
0,63430719;18,49;;;;
0,68347829;19,02;;;;
0,73264939;19,02;;;;
0,781328779;19,02;;;;
0,831483301;19,02;;;;
0,879179268;19,02;;;;
0,92933379;18,49;;;;
0,977521468;19,02;;;;
1,024234013;19,02;;;;
1,076355379;19,02;;;;
1,125526479;19,02;;;;
1,175681001;19,02;;;;
1,224852101;20,32;;;;
1,272548068;19,02;;;;
1,322210879;20,32;;;;
1,370890268;19,02;;;;
1,420061368;20,32;;;;
1,469232468;20,1;;;;
1,518895279;20,1;;;;
1,566591246;19,02;;;;
1,617237479;20,1;;;;
1,666408579;19,02;;;;
1,714596257;20,1;;;;
1,764259068;19,02;;;;
1,813430168;19,23;;;;
1,861126135;19,23;;;;
1,913739212;19,23;;;;
1,960943468;19,02;;;;
2,010114568;20,32;;;;
2,057810535;19,23;;;;
2,108456768;20,32;;;;
2,158119579;19,02;;;;
2,207290679;20,32;;;;
2,256461779;19,02;;;;
2,304649457;20,1;;;;
2,35529569;20,1;;;;
2,402499946;20,1;;;;
2,453146179;20,1;;;;
2,501825568;20,1;;;;
2,550996668;19,02;;;;
2,600167768;20,32;;;;
2,65032229;19,02;;;;
2,698509968;20,1;;;;
2,747681068;19,02;;;;
2,796360457;20,1;;;;
2,845531557;19,02;;;;
2,894702657;19,02;;;;
2,943873757;19,02;;;;
2,993044857;19,02;;;;
3,043199379;19,02;;;;
3,090895346;19,02;;;;
3,140066446;19,02;;;;
3,189729257;19,02;;;;
3,238900357;19,02;;;;
3,288563168;19,02;;;;
3,337242557;19,02;;;;
3,385921946;19,02;;;;
3,436568179;18,49;;;;
3,483772435;18,49;;;;
3,532451824;18,49;;;;
3,584081479;18,49;;;;
3,632269157;18,49;;;;
3,681931968;18,49;;;;
3,730119646;18,49;;;;
3,780274168;18,49;;;;
3,829445268;18,49;;;;
3,878616368;18,49;;;;
3,92385378;18,49;;;;
3,974500013;18,49;;;;
4,026621379;18,49;;;;
4,074809057;18,49;;;;
4,122505024;18,49;;;;
4,173151257;18,49;;;;
4,222322357;18,49;;;;
4,271493457;18,49;;;;
4,321156268;18,49;;;;
4,369835657;18,49;;;;
4,419498468;18,49;;;;
4,468177857;18,49;;;;
4,517348957;18,49;;;;
4,566520057;18,49;;;;
4,612740891;18,49;;;;
4,664862257;18,49;;;;
4,714033357;18,49;;;;
4,763204457;18,49;;;;
4,812375557;18,49;;;;
4,861054946;18,49;;;;
4,911209468;19,02;;;;
4,959397146;18,49;;;;
5,008568246;18,49;;;;
5,058231057;18,49;;;;
5,107402157;18,49;;;;
5,156081546;18,49;;;;
5,205252646;18,49;;;;
5,254915457;17,27;;;;
5,304086557;13,77;;;;
5,352765946;8,93;;;;
5,402428757;7,2;;;;
5,451108146;6,2;;;;
5,501262668;6,2;;;;
5,549942057;5,38;;;;
5,598621446;6,1;;;;
5,646809124;6,98;;;;
5,696963646;6,98;;;;
5,746134746;7,09;;;;
5,795305846;8,07;;;;
5,844476946;8,07;;;;
5,895123179;8,07;;;;
5,942819146;7,77;;;;
5,991990246;7,2;;;;
6,041161346;7,09;;;;
6,090332446;7,77;;;;
6,139995257;7,2;;;;
6,188182935;7,2;;;;
6,238337457;7,2;;;;
6,286525135;7,2;;;;
6,336679657;7,2;;;;
6,386342468;7,2;;;;
6,434530146;7,2;;;;
6,484192957;7,2;;;;
6,533855768;7,2;;;;
6,582043446;7,09;;;;
6,631214546;7,09;;;;
6,679402224;7,09;;;;
6,730048457;7,2;;;;
6,778727846;7,2;;;;
6,828390657;7,2;;;;
6,877561757;7,09;;;;
6,926732857;7,09;;;;
6,975412246;7,09;;;;
7,024583346;7,2;;;;
7,073754446;7,2;;;;
7,122925546;7,2;;;;
7,173571779;7,2;;;;
7,220776035;7,2;;;;
7,270438846;7,2;;;;
7,320593368;7,48;;;;
7,368781046;7,2;;;;
7,417952146;7,2;;;;
7,467614957;7,2;;;;
7,516786057;7,2;;;;
7,565465446;7,2;;;;
7,615128257;7,2;;;;
7,663315935;7,2;;;;
7,713470457;7,2;;;;
7,761658135;7,2;;;;
7,811812657;7,09;;;;
7,860492046;7,09;;;;
7,909171435;7,09;;;;
7,959325957;7,09;;;;
8,008005346;7,09;;;;
8,057176446;7,09;;;;
8,106839257;7,09;;;;
8,156010357;7,09;;;;
8,204689746;7,09;;;;
8,254352557;7,09;;;;
8,302540235;7,2;;;;
8,352203046;7,09;;;;
8,401374146;7,09;;;;
8,450545246;7,09;;;;
8,500208057;7,09;;;;
8,548395735;7,2;;;;
8,598058546;7,09;;;;
8,646737935;7,09;;;;
8,695417324;7,09;;;;
8,746555268;7,09;;;;
8,794742946;7,09;;;;
8,843914046;7,09;;;;
8,893576857;7,09;;;;
8,942747957;7,09;;;;
8,990935635;7,09;;;;
9,040598446;7,09;;;;
9,090261257;7,09;;;;
9,138940646;7,09;;;;
9,188603457;7,09;;;;
9,237774557;7,09;;;;
9,286453946;7,09;;;;
9,335625046;7,09;;;;
9,385287857;7,09;;;;
9,433967246;7,09;;;;
9,483630057;7,09;;;;
9,531817735;7,09;;;;
9,581972257;7,09;;;;
9,630651646;7,09;;;;
9,679822746;7,09;;;;
9,728993846;7,2;;;;
9,777673235;7,09;;;;
9,826352624;7,09;;;;
9,876015435;7,09;;;;
9,925678246;7,09;;;;
9,974849346;7,09;;;;
10,02451216;7,09;;;;
10,07319155;7,09;;;;
10,12236265;7,09;;;;
10,17153375;10,06;;;;
10,22021314;15,46;;;;
10,26938424;22,27;;;;
10,31855534;30,09;;;;
10,36821815;49,45;;;;
10,41689754;72,08;;;;
10,46656035;81,77;;;;
10,51573145;99,11;;;;
10,56490255;104,64;;;;
10,61407365;111,04;;;;
10,66373646;117;;;;
10,71241585;115,19;;;;
10,76060352;114,51;;;;
10,81075805;114,51;;;;
10,86042086;111,04;;;;
10,90910025;108,64;;;;
10,95827135;108,64;;;;
11,00793416;104,64;;;;
11,05612184;104,64;;;;
11,10529294;104,64;;;;
11,15495575;104,64;;;;
11,20412685;104,64;;;;
11,25329795;108,64;;;;
11,30246905;110,37;;;;
11,35114844;104,64;;;;
11,40130296;104,64;;;;
11,44998235;102,97;;;;
11,49915345;104,64;;;;
11,54832455;102,97;;;;
11,59700394;104,64;;;;
11,64568332;104,64;;;;
11,69632956;102,97;;;;
11,74500895;104,64;;;;
11,79418005;102,97;;;;
