time;lux
0,017;1145,75
0,106;1145,75
0,209;1145,75
0,309;1145,75
0,409;1154,06
0,508;1145,75
0,61;1145,75
0,702;1145,75
0,818;1145,75
0,915;1148,91
1,01;1145,75
1,106;1145,75
1,204;1148,91
1,307;1145,75
1,418;1145,75
1,509;1145,75
1,617;1145,75
1,706;1145,75
1,817;1145,75
1,911;1145,75
2,012;1145,75
2,11;1145,75
2,212;1145,75
2,311;1129,53
2,414;1129,53
2,512;1121,33
2,612;1121,33
2,705;1121,33
2,816;1121,33
2,914;1121,33
3,014;1121,33
3,112;1121,33
3,204;1121,33
3,312;1121,33
3,415;1121,33
3,512;1121,33
3,615;1121,33
3,703;1124,45
3,814;1124,45
3,914;1124,45
4,013;1124,45
4,113;1121,33
4,212;1124,45
4,311;1121,33
4,412;1121,33
4,511;1124,45
4,614;1113,17
4,701;1116,28
4,816;1113,17
4,913;1113,17
5,014;1113,17
5,111;1097,27
5,211;1097,27
5,307;1097,27
5,414;1097,27
5,51;1097,27
5,614;1097,27
5,703;1097,27
5,816;1097,27
5,912;1097,27
6,015;1100,35
6,114;1100,35
6,215;1100,35
6,316;1100,35
6,411;1100,35
6,51;1100,35
6,615;1100,35
6,7;1100,35
6,817;1100,35
6,915;1100,35
7,014;1092,29
7,111;1092,29
7,212;1092,29
7,313;1092,29
7,407;1092,29
7,512;1092,29
7,612;1092,29
7,701;1092,29
7,817;1092,29
7,913;1092,29
8,015;1092,29
8,11;1092,29
8,21;1092,29
8,311;1092,29
8,405;1092,29
8,511;1092,29
8,614;1092,29
8,7;1092,29
8,816;1092,29
8,901;1092,29
9,015;1092,29
9,114;1092,29
9,21;1092,29
9,306;1092,29
9,421;1092,29
9,504;1092,29
9,614;1092,29
9,7;1092,29
9,815;1092,29
9,913;1092,29
10,013;1092,29
10,11;1092,29
10,207;1095,36
10,308;1095,36
10,414;1095,36
10,503;1095,36
10,614;1095,36
10,7;1095,36
10,815;1095,36
10,909;1095,36
11,015;1095,36
11,107;1095,36
11,204;1095,36
11,31;1095,36
11,412;1111,24
11,502;1111,24
11,613;1095,36
11,705;1095,36
11,813;1095,36
11,909;1095,36
12,012;1111,24
12,108;1111,24
12,209;1111,24
12,31;1111,24
12,413;1119,39
12,514;1119,39
12,607;1119,39
12,698;1119,39
12,815;1119,39
12,906;1119,39
13,013;1119,39
13,104;1119,39
13,204;1119,39
13,31;1119,39
13,411;1119,39
13,507;1119,39
13,605;1119,39
13,7;1119,39
13,812;1119,39
13,902;1119,39
14,013;1119,39
14,106;1135,51
14,209;1135,51
14,31;1135,51
14,411;1135,51
14,509;1135,51
14,613;1135,51
14,7;1135,51
