 ;Mean1;StdDev1
0;4,162;0,368
10;54,977;5,202
20;87,94;9,119
40;147,218;15,825
50;162,874;13,089
60;170,704;14,703
70;176,947;15,24
80;179,922;13,92
90;180,26;13,239
100;176,995;10,323
110;168,058;15,29
120;159,558;14,038
130;138,576;11,283
140;128,355;15,784
150;91,62;6,845
160;26,134;3,181
170;1;0
180;2,593;0,491
190;60,682;5,251
200;84,968;9,234
210;126,805;9,103
220;146,255;16,447
230;161,521;13,221
240;169,976;14,521
250;176,426;15,216
260;179,501;12,838
270;179,902;12,788
280;176,813;14,638
290;168,241;16,18
300;160,034;15,689
310;143,792;14,288
330;93,342;7,803
340;54,785;8,438
350;1;0
