time,lux
0.084,15.82
0.184,16.77
0.285,16.77
0.386,15.82
0.486,16.77
0.587,18.49
0.687,17.47
0.788,17.47
0.891,17.47
0.990,18.49
1.085,18.49
1.187,18.49
1.290,18.49
1.390,19.02
1.490,19.02
1.589,19.02
1.691,19.02
1.788,19.02
1.890,18.49
1.988,19.02
2.083,19.02
2.189,19.02
2.289,19.02
2.391,19.02
2.491,20.32
2.588,19.02
2.689,20.32
2.788,19.02
2.888,20.32
2.988,20.10
3.089,20.10
3.186,19.02
3.289,20.10
3.389,19.02
3.487,20.10
3.588,19.02
3.688,19.23
3.785,19.23
3.892,19.23
3.988,19.02
4.088,20.32
4.185,19.23
4.288,20.32
4.389,19.02
4.489,20.32
4.589,19.02
4.687,20.10
4.790,20.10
4.886,20.10
4.989,20.10
5.088,20.10
5.188,19.02
5.288,20.32
5.390,19.02
5.488,20.10
5.588,19.02
5.687,20.10
5.787,19.02
5.887,19.02
5.987,19.02
6.087,19.02
6.189,19.02
6.286,19.02
6.386,19.02
6.487,19.02
6.587,19.02
6.688,19.02
6.787,19.02
6.886,19.02
6.989,18.49
7.085,18.49
7.184,18.49
7.289,18.49
7.387,18.49
7.488,18.49
7.586,18.49
7.688,18.49
7.788,18.49
7.888,18.49
7.980,18.49
8.083,18.49
8.189,18.49
8.287,18.49
8.384,18.49
8.487,18.49
8.587,18.49
8.687,18.49
8.788,18.49
8.887,18.49
8.988,18.49
9.087,18.49
9.187,18.49
9.287,18.49
9.381,18.49
9.487,18.49
9.587,18.49
9.687,18.49
9.787,18.49
9.886,18.49
9.988,19.02
10.086,18.49
10.186,18.49
10.287,18.49
10.387,18.49
10.486,18.49
10.586,18.49
10.687,17.27
10.787,13.77
10.886,8.93
10.987,7.20
11.086,6.20
11.188,6.20
11.287,5.38
11.386,6.10
11.484,6.98
11.586,6.98
11.686,7.09
11.786,8.07
11.886,8.07
11.989,8.07
12.086,7.77
12.186,7.20
12.286,7.09
12.386,7.77
12.487,7.20
12.585,7.20
12.687,7.20
12.785,7.20
12.887,7.20
12.988,7.20
13.086,7.20
13.187,7.20
13.288,7.20
13.386,7.09
13.486,7.09
13.584,7.09
13.687,7.20
13.786,7.20
13.887,7.20
13.987,7.09
14.087,7.09
14.186,7.09
14.286,7.20
14.386,7.20
14.486,7.20
14.589,7.20
14.685,7.20
14.786,7.20
14.888,7.48
14.986,7.20
15.086,7.20
15.187,7.20
15.287,7.20
15.386,7.20
15.487,7.20
15.585,7.20
15.687,7.20
15.785,7.20
15.887,7.09
15.986,7.09
16.085,7.09
16.187,7.09
16.286,7.09
16.386,7.09
16.487,7.09
16.587,7.09
16.686,7.09
16.787,7.09
16.885,7.20
16.986,7.09
17.086,7.09
17.186,7.09
17.287,7.09
17.385,7.20
17.486,7.09
17.585,7.09
17.684,7.09
17.788,7.09
17.886,7.09
17.986,7.09
18.087,7.09
18.187,7.09
18.285,7.09
18.386,7.09
18.487,7.09
18.586,7.09
18.687,7.09
18.787,7.09
18.886,7.09
18.986,7.09
19.087,7.09
19.186,7.09
19.287,7.09
19.385,7.09
19.487,7.09
19.586,7.09
19.686,7.09
19.786,7.20
19.885,7.09
19.984,7.09
20.085,7.09
20.186,7.09
20.286,7.09
20.387,7.09
20.486,7.09
20.586,7.09
20.686,10.06
20.785,15.46
20.885,22.27
20.985,30.09
21.086,49.45
21.185,72.08
21.286,81.77
21.386,99.11
21.486,104.64
21.586,111.04
21.687,117.00
21.786,115.19
21.884,114.51
21.986,114.51
22.087,111.04
22.186,108.64
22.286,108.64
22.387,104.64
22.485,104.64
22.585,104.64
22.686,104.64
22.786,104.64
22.886,108.64
22.986,110.37
23.085,104.64
23.187,104.64
23.286,102.97
23.386,104.64
23.486,102.97
23.585,104.64
23.684,104.64
23.787,102.97
23.886,104.64
23.986,102.97
24.086,99.73
24.186,102.97
24.287,105.28
24.386,104.64
24.485,104.64
24.587,105.28
24.686,105.28
24.786,104.64
24.885,104.64
24.985,104.64
25.086,108.64
25.185,105.28
25.284,105.28
25.387,105.28
