 ;Mean1;StdDev1
0;4,162;0,368
10;49,868;4,64
20;80,946;8,714
40;138,969;15,411
50;154,899;12,669
60;162,863;14,326
70;169,556;14,858
80;172,601;13,451
90;172,682;12,765
100;169,674;9,734
110;159,895;14,926
120;151,557;13,521
130;130,474;10,832
140;119,378;15,374
150;85,187;6,112
160;23,111;2,74
170;0;0
180;2,593;0,491
190;55,044;4,885
200;77,665;8,71
210;117,956;8,49
220;138,197;16,069
230;153,952;12,783
240;162,656;14,169
250;168,647;14,89
260;172,054;12,428
270;172,789;12,34
280;169,829;14,309
290;159,834;15,868
300;151,543;15,291
310;135,624;13,92
330;87,216;7,199
340;48,949;7,843
350;0,849;0,358
