 ;Mean1;StdDev1
0;5,162;0,368
10;56,183;5,089
20;90,914;9,272
40;148,212;15,929
50;164,081;13,234
60;171,89;14,841
70;178,428;15,3
80;181,321;13,983
90;181,361;13,282
100;178,268;10,374
110;169,244;15,426
120;160,723;14,257
130;139,465;11,348
140;130,125;15,794
150;94,031;7,139
160;27,28;3,011
170;2;0
180;3,593;0,491
190;61,887;5,07
200;87,845;9,269
210;128,156;9,126
220;147,505;16,522
230;162,417;13,335
240;170,996;14,642
250;178,104;15,334
260;181,01;12,933
270;181,187;12,848
280;178;14,679
290;169,576;16,259
300;161,413;15,814
310;144,572;14,316
330;96,227;8,133
340;56,414;8,501
350;1,993;0,081
