 ;Mean1;StdDev1
0;3,162;0,368
10;58,499;6,052
20;91,914;9,541
40;154,216;16,389
50;169,431;13,66
60;177,088;15,25
70;182,363;15,732
80;185,415;14,47
90;186,493;13,929
100;182,698;11,136
110;174,972;15,736
120;166,24;14,623
130;145,657;11,924
140;135,532;16,332
150;95,335;7,5
160;28,045;3,742
170;0;0
180;1,593;0,491
190;64,51;5,891
200;89,168;9,637
210;134,242;9,93
220;152,958;16,957
230;167,948;13,764
240;176,029;14,937
250;182,024;15,59
260;184,907;13,318
270;185,292;13,315
280;182,355;15,095
290;175,331;16,577
300;167,118;16,162
310;150,891;14,873
330;96,358;8,336
340;58,711;9,168
350;0,007;0,081
